theta_rad,amp_0,amp_1,p0,p1
0.0,1.0,0.0,1.0,0.0
0.2617993877991494,0.9914448613738104,0.13052619222005157,0.9829629131445341,0.01703708685546585
0.5235987755982988,0.9659258262890683,0.25881904510252074,0.9330127018922194,0.06698729810778066
0.7853981633974483,0.9238795325112867,0.3826834323650898,0.8535533905932737,0.14644660940672624
1.0471975511965976,0.8660254037844387,0.49999999999999994,0.7500000000000001,0.24999999999999994
1.308996938995747,0.7933533402912353,0.6087614290087205,0.6294095225512606,0.3705904774487395
1.5707963267948966,0.7071067811865476,0.7071067811865476,0.5000000000000001,0.5000000000000001
1.832595714594046,0.6087614290087207,0.7933533402912352,0.37059047744873963,0.6294095225512604
2.0943951023931953,0.5000000000000001,0.8660254037844386,0.2500000000000001,0.7499999999999999
2.356194490192345,0.38268343236508984,0.9238795325112867,0.1464466094067263,0.8535533905932737
2.617993877991494,0.25881904510252096,0.9659258262890682,0.06698729810778078,0.9330127018922192
2.8797932657906435,0.1305261922200517,0.9914448613738104,0.01703708685546589,0.9829629131445341
3.141592653589793,6.123233995736766e-17,1.0,3.749399456654644e-33,1.0
3.4033920413889422,-0.13052619222005138,0.9914448613738105,0.017037086855465802,0.9829629131445343
3.665191429188092,-0.25881904510252063,0.9659258262890683,0.0669872981077806,0.9330127018922194
3.926990816987241,-0.3826834323650895,0.9238795325112868,0.14644660940672602,0.853553390593274
4.1887902047863905,-0.4999999999999998,0.8660254037844387,0.24999999999999978,0.7500000000000001
4.45058959258554,-0.6087614290087203,0.7933533402912354,0.37059047744873924,0.6294095225512607
4.71238898038469,-0.7071067811865475,0.7071067811865476,0.4999999999999999,0.5000000000000001
4.974188368183839,-0.793353340291235,0.6087614290087209,0.6294095225512603,0.3705904774487399
5.235987755982988,-0.8660254037844385,0.5000000000000003,0.7499999999999997,0.25000000000000033
5.497787143782138,-0.9238795325112867,0.3826834323650899,0.8535533905932737,0.14644660940672632
5.759586531581287,-0.9659258262890682,0.258819045102521,0.9330127018922192,0.06698729810778081
6.021385919380436,-0.9914448613738104,0.130526192220052,0.9829629131445341,0.017037086855465962
6.283185307179586,-1.0,1.2246467991473532e-16,1.0,1.4997597826618576e-32
